Sioux Falls, SD	Sep 21, 2025	2:45:50	Sioux Falls Marathon
Olathe, KS	Apr 26, 2025	2:44:35	Garmin Marathon
Xiamen, China	Jan 5, 2025	2:38:08	Xiamen Marathon
New York City, NY	Nov 3, 2024	2:50:32	New York City Marathon
Berlin, Germany	Sep 29, 2024	2:52:20	Berlin Marathon
Manitowoc, WI	Jun 2, 2024	3:02:39	Maritime Marathon
Tokyo, Japan	Mar 3, 2024	3:20:00	Tokyo Marathon
Boston, MA	Apr 17, 2023	2:59:38	Boston Marathon
Maui, HI	Jan 15, 2023	3:56:54	Maui Oceanfront Marathon
Omaha, NE	Sep 25, 2022	2:57:45	Heartland Marathon
Duluth, MN	Jun 18, 2022	2:55:50	Grandma's Marathon
Boston, MA	Oct 11, 2021	2:46:56	Boston Marathon
Shenandoah, IA	Sep 12, 2020	3:04:03	Wabash Trace Nature Trail Marathon
Chicago, IL	Oct 13, 2019	2:55:02	Chicago Marathon
Des Moines, IA	Oct 21, 2018	2:59:46	Des Moines Marathon
Irving, TX	Apr 7, 2018	3:03:02	Irving Marathon
Allen, TX	Dec 31, 2017	3:17:06	New Year's Double